UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q9UEE5	STK17A	Serine/threonine-protein kinase 17A
UniProtKB:P01116	KRAS	GTPase KRas
UniProtKB:P01112	HRAS	GTPase HRas
UniProtKB:P01111	NRAS	GTPase NRas
UniProtKB:Q99527	GPER1	G-protein coupled estrogen receptor 1
UniProtKB:P01106	MYC	Myc proto-oncogene protein
UniProtKB:Q05655	PRKCD	Protein kinase C delta type
UniProtKB:Q4KMG0	CDON	Cell adhesion molecule-related/down-regulated by oncogenes
UniProtKB:Q86YV0	RASAL3	RAS protein activator like-3
UniProtKB:Q86YV6	MYLK4	Myosin light chain kinase family member 4
UniProtKB:Q9UI09	NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
UniProtKB:Q96C45	ULK4	Serine/threonine-protein kinase ULK4
UniProtKB:Q96FA3	PELI1	E3 ubiquitin-protein ligase pellino homolog 1
UniProtKB:Q04912	MST1R	Macrophage-stimulating protein receptor
UniProtKB:Q9Y4B6	DCAF1	DDB1- and CUL4-associated factor 1
UniProtKB:P49279	SLC11A1	Natural resistance-associated macrophage protein 1
UniProtKB:Q5SGD2	PPM1L	Protein phosphatase 1L
UniProtKB:Q9BSQ5	CCM2	Cerebral cavernous malformations 2 protein
UniProtKB:O95972	BMP15	Bone morphogenetic protein 15
UniProtKB:O75489	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial
UniProtKB:P37840	SNCA	Alpha-synuclein
